time,ping
1644038808.480994,0.251 ms
1644038808.6831982,0.167 ms
1644038808.88521,0.251 ms
1644038809.087387,0.244 ms
1644038809.2895684,0.261 ms
1644038809.4917889,0.238 ms
1644038809.6940577,0.247 ms
1644038809.8961697,0.251 ms
1644038810.0982356,0.246 ms
1644038810.3004243,0.200 ms
1644038810.5025399,0.264 ms
1644038810.7047818,0.253 ms
1644038810.907019,0.266 ms
1644038811.109184,0.251 ms
1644038811.3112879,0.250 ms
1644038811.513413,0.259 ms
1644038811.71563,0.246 ms
1644038811.9178813,0.229 ms
1644038812.1199727,0.205 ms
1644038812.3220756,0.264 ms
1644038812.5242376,0.253 ms
1644038812.7264006,0.253 ms
1644038812.9286094,0.247 ms
1644038813.1308124,0.218 ms
1644038813.3329666,0.187 ms
1644038813.535071,0.166 ms
1644038813.7371318,0.254 ms
1644038813.9393156,0.272 ms
1644038814.1415224,0.246 ms
1644038814.3438585,0.199 ms
1644038814.545981,0.249 ms
1644038814.7480936,0.137 ms
1644038814.95008,0.165 ms
1644038815.1521745,0.252 ms
1644038815.3543692,0.249 ms
1644038815.556613,0.252 ms
1644038815.758913,0.200 ms
1644038815.9609237,0.245 ms
1644038816.1630595,0.265 ms
1644038816.3651326,0.254 ms
1644038816.5671797,0.262 ms
1644038816.769366,0.188 ms
1644038816.9715319,0.176 ms
1644038817.1739023,0.201 ms
1644038817.3759525,0.174 ms
1644038817.5780146,0.258 ms
1644038817.7801886,0.251 ms
1644038817.9823525,0.171 ms
1644038818.1844163,0.219 ms
1644038818.386572,0.251 ms
1644038818.5887897,0.187 ms
1644038818.7908366,0.269 ms
1644038818.993022,0.200 ms
1644038819.195059,0.254 ms
1644038819.3972266,0.254 ms
1644038819.5995193,0.191 ms
1644038819.80176,0.262 ms
1644038820.003892,0.254 ms
1644038820.2063124,0.237 ms
1644038820.408567,0.245 ms
1644038820.6109064,0.255 ms
1644038820.8129978,0.201 ms
1644038821.0150938,0.243 ms
1644038821.2172332,0.259 ms
1644038821.419411,0.172 ms
1644038821.6215377,0.192 ms
1644038821.8237388,0.259 ms
1644038822.0259094,0.186 ms
1644038822.2279844,0.225 ms
1644038822.4301174,0.171 ms
1644038822.632236,0.169 ms
1644038822.8342335,0.256 ms
1644038823.0364902,0.261 ms
1644038823.2388,0.240 ms
1644038823.4409835,0.250 ms
1644038823.6432004,0.246 ms
1644038823.845396,0.192 ms
1644038824.0476034,0.256 ms
